domain,domain_length,digit_count,entropy,hyphen_count,subdomain_count,vowel_ratio,consonant_ratio,longest_digit_seq,longest_consonant_seq,unique_char_count,ttl,query_type,response_code,unique_ip_count,ip_change_frequency,domain_age,days_until_expiry,registration_period,nameserver_count,asn,country_count,query_count,unique_client_count,queries_per_client,unique_resolved_ip_count,unique_query_type_count,unique_response_code_count,response_code_diversity,nxdomain_ratio,servfail_ratio,failed_lookup_ratio,avg_query_interval,query_interval_std,burst_score,beacon_score,repeated_query_ratio,unique_domain_count,domain_reuse_ratio,unique_ttl_count,average_ttl,ttl_variance,unique_asn_count,asn_change_frequency,unique_registrar_count,average_domain_age,average_days_until_expiry,avg_response_time,dnssec_ratio,mx_ratio,aaaa_ratio,first_seen_age,last_seen_age,observation_window,query_type_entropy,response_code_entropy,threat_score,confidence,label
connectivity-check.ubuntu.com,29.0,0.0,3.6899,1.0,1.0,0.3462,0.6538,0.0,2.0,15.0,19.0,1.0,0.0,1.0,0.0,8112,653,8766,3,AS41231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,19.0,0.0,1.0,1.0,1.0,8112.0,653.0,0.4455,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,95,Benign
tranco-list.eu,14.0,0.0,3.6645,1.0,0.0,0.4167,0.5833,0.0,2.0,13.0,258.0,1.0,0.0,1.0,0.0,-1,-1,-1.0,0,AS13335,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,258.0,0.0,1.0,1.0,1.0,0.0,0.0,0.1428,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,95,Benign
tranco-list.eu,14.0,0.0,3.6645,1.0,0.0,0.4167,0.5833,0.0,2.0,13.0,258.0,28.0,0.0,1.0,0.0,-1,-1,-1.0,0,AS13335,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,258.0,0.0,1.0,1.0,1.0,0.0,0.0,0.1428,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,95,Benign
connectivity-check.ubuntu.com,29.0,0.0,3.6899,1.0,1.0,0.3462,0.6538,0.0,2.0,15.0,19.0,28.0,0.0,1.0,0.0,8112,653,8766,3,AS41231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,19.0,0.0,1.0,1.0,1.0,8112.0,653.0,0.4455,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,95,Benign
publicsuffix.org,16.0,0.0,3.625,0.0,0.0,0.3333,0.6667,0.0,2.0,13.0,374.0,1.0,0.0,1.0,0.0,7099,205,7305,4,AS396982,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,374.0,0.0,1.0,1.0,1.0,7099.0,205.0,0.2118,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,95,Benign
publicsuffix.org,16.0,0.0,3.625,0.0,0.0,0.3333,0.6667,0.0,2.0,13.0,374.0,28.0,0.0,1.0,0.0,7099,205,7305,4,AS396982,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,374.0,0.0,1.0,1.0,1.0,7099.0,205.0,0.2118,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,95,Benign
whois.iana.org,14.0,0.0,3.2359,0.0,1.0,0.5,0.5,0.0,2.0,10.0,52.0,1.0,0.0,1.0,0.0,11393,480,11874,4,AS16876,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,52.0,0.0,1.0,1.0,1.0,11393.0,480.0,0.6005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,95,Benign
whois.verisign-grs.com,22.0,0.0,3.6635,1.0,1.0,0.3158,0.6842,0.0,3.0,14.0,10.0,1.0,0.0,1.0,0.0,9471,24,9496,4,AS397203,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,0.0,1.0,1.0,1.0,9471.0,24.0,0.3469,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,95,Benign
whois.markmonitor.com,21.0,0.0,3.4992,0.0,1.0,0.3684,0.6316,0.0,3.0,13.0,38.0,1.0,0.0,1.0,0.0,9975,2078,12054,9,AS16509,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,38.0,0.0,1.0,1.0,1.0,9975.0,2078.0,0.1083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,95,Benign
connectivity-check.ubuntu.com,29.0,0.0,3.6899,1.0,1.0,0.3462,0.6538,0.0,2.0,15.0,19.0,1.0,0.0,1.0,0.0,8112,653,8766,3,AS41231,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,19.0,0.0,1.0,1.0,1.0,8112.0,653.0,0.4455,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,95,Benign
